Original_Index,date_time,date,common_name,scientific_name,group_size,latitude,longitude,ssha
80,2025/03/25 11:56:47,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,38.28309,-74.29529,0.1989692744194982
81,2025/03/25 12:14:33,2025-03-25,Fin whale,Balaenoptera physalus,1,38.04273,-73.90911,0.1989692744194982
82,2025/03/25 12:22:37,2025-03-25,Common minke whale,Balaenoptera acutorostrata,1,38.15058,-74.15977,0.1989692744194982
83,2025/03/25 12:25:05,2025-03-25,Humpback whale,Megaptera novaeangliae,1,38.18413,-74.23932,0.1989692744194982
84,2025/03/25 12:26:45,2025-03-25,Humpback whale,Megaptera novaeangliae,1,38.22727,-74.23258,0.1989692744194982
85,2025/03/28 15:27:11,2025-03-28,Fin whale,Balaenoptera physalus,1,38.90541,-72.92221,0.1882378708545628
86,2025/03/28 15:27:55,2025-03-28,Fin whale,Balaenoptera physalus,1,38.9159,-72.89889,0.1882378708545628
88,2025/03/25 10:17:21,2025-03-25,Fin whale,Balaenoptera physalus,1,38.44993,-73.6255,0.1989692744194982
89,2025/03/25 10:18:32,2025-03-25,Fin whale,Balaenoptera physalus,1,38.41902,-73.61087,0.1989692744194982
90,2025/03/28 15:40:01,2025-03-28,Fin whale,Balaenoptera physalus,1,38.85645,-72.93567,0.1882378708545628
