latitude,longitude,date_time,date,common_name,scientific_name,group_size,carbon_phyto_mean,carbon_phyto_median,carbon_phyto_std,carbon_phyto_min,carbon_phyto_max,carbon_phyto_q25,carbon_phyto_q75,chlor_a_mean,chlor_a_median,chlor_a_std,chlor_a_min,chlor_a_max,chlor_a_q25,chlor_a_q75,synechococcus_mean,synechococcus_median,synechococcus_std,synechococcus_min,synechococcus_max,synechococcus_q25,synechococcus_q75,prochlorococcus_mean,prochlorococcus_median,prochlorococcus_std,prochlorococcus_min,prochlorococcus_max,prochlorococcus_q25,prochlorococcus_q75,picoeukaryotes_mean,picoeukaryotes_median,picoeukaryotes_std,picoeukaryotes_min,picoeukaryotes_max,picoeukaryotes_q25,picoeukaryotes_q75,depth_m
38.18413,-74.23932,2025/03/25 12:25:05,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.457773208618164,30.33045768737793,1.1358788013458252,28.67136001586914,32.35277557373047,29.46770477294922,31.588966369628903,0.5978651642799377,0.5408490896224976,0.1141060590744018,0.5073608756065369,0.8263933062553406,0.5169507414102554,0.6322778463363647,5981.0,6204.0,1981.376513661371,2914.0,8929.0,5055.0,7648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9226.888888888889,9491.0,626.8181456007164,7625.0,9837.0,9205.0,9541.0,41.0
38.22727,-74.23258,2025/03/25 12:26:45,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.46213150024414,30.33045768737793,0.937091827392578,29.24681282043457,32.35277557373047,29.945512771606445,30.57492446899414,0.6684542894363403,0.6656965613365173,0.0235509425401687,0.6245285868644714,0.700741708278656,0.657630205154419,0.6900985240936279,5418.666666666667,5485.0,1916.816805713751,2914.0,8284.0,3352.0,6947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.888888888889,8839.0,638.5658313656113,7625.0,9837.0,8671.0,9491.0,50.0
38.22727,-74.23258,2025/03/25 12:26:45,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.46213150024414,30.33045768737793,0.937091827392578,29.24681282043457,32.35277557373047,29.945512771606445,30.57492446899414,0.6096975207328796,0.6086623072624207,0.0113293919712305,0.5937376618385315,0.6248049736022949,0.598517656326294,0.6230489611625671,5418.666666666667,5485.0,1916.816805713751,2914.0,8284.0,3352.0,6947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.888888888889,8839.0,638.5658313656113,7625.0,9837.0,8671.0,9491.0,50.0
38.22727,-74.23258,2025/03/25 12:26:45,2025-03-25,Humpback whale,Megaptera novaeangliae,1,30.46213150024414,30.33045768737793,0.937091827392578,29.24681282043457,32.35277557373047,29.945512771606445,30.57492446899414,0.5912423729896545,0.5259484052658081,0.1157155036926269,0.5073608756065369,0.8263933062553406,0.5151389092206955,0.6191876828670502,5418.666666666667,5485.0,1916.816805713751,2914.0,8284.0,3352.0,6947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8932.888888888889,8839.0,638.5658313656113,7625.0,9837.0,8671.0,9491.0,50.0
38.44993,-73.6255,2025/03/25 10:17:21,2025-03-25,Fin whale,Balaenoptera physalus,1,29.040428161621094,28.83052635192871,0.762120246887207,27.964035034179688,30.32918930053711,28.56648063659668,29.23087882995605,0.6866622567176819,0.6779891848564148,0.0197315458208322,0.6619414687156677,0.7139047384262085,0.6674817800521851,0.7076204419136047,23325.444444444445,22564.0,7280.5114000950225,13254.0,35278.0,17571.0,26179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9587.666666666666,9311.0,667.2544075871244,8603.0,10481.0,9202.0,10288.0,89.0
38.44993,-73.6255,2025/03/25 10:17:21,2025-03-25,Fin whale,Balaenoptera physalus,1,29.040428161621094,28.83052635192871,0.762120246887207,27.964035034179688,30.32918930053711,28.56648063659668,29.23087882995605,0.6483089923858643,0.6484314203262329,0.0131143797188997,0.6278605461120605,0.6712833046913147,0.6375871300697327,0.6533007025718689,23325.444444444445,22564.0,7280.5114000950225,13254.0,35278.0,17571.0,26179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9587.666666666666,9311.0,667.2544075871244,8603.0,10481.0,9202.0,10288.0,89.0
38.44993,-73.6255,2025/03/25 10:17:21,2025-03-25,Fin whale,Balaenoptera physalus,1,29.040428161621094,28.83052635192871,0.762120246887207,27.964035034179688,30.32918930053711,28.56648063659668,29.23087882995605,0.4731787443161011,0.4780235290527344,0.0143412472680211,0.4491517543792724,0.4907488822937011,0.4624578654766083,0.4849010705947876,23325.444444444445,22564.0,7280.5114000950225,13254.0,35278.0,17571.0,26179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9587.666666666666,9311.0,667.2544075871244,8603.0,10481.0,9202.0,10288.0,89.0
38.41902,-73.61087,2025/03/25 10:18:32,2025-03-25,Fin whale,Balaenoptera physalus,1,29.21564483642578,29.23087882995605,0.8951987624168396,27.81220817565918,30.32918930053711,28.792356491088867,30.15518569946289,0.6875413060188293,0.6822362542152405,0.0142150232568383,0.6658268570899963,0.7106371521949768,0.6779891848564148,0.6986526846885681,44141.66666666666,34964.0,33826.87399424047,18868.0,131740.0,23867.0,36043.0,1037.888888888889,0.0,2935.593085806018,0.0,9341.0,0.0,0.0,9715.111111111111,9703.0,586.7557592283644,8762.0,10481.0,9214.0,10288.0,108.0
38.41902,-73.61087,2025/03/25 10:18:32,2025-03-25,Fin whale,Balaenoptera physalus,1,29.21564483642578,29.23087882995605,0.8951987624168396,27.81220817565918,30.32918930053711,28.792356491088867,30.15518569946289,0.6627203822135925,0.6658238172531128,0.0164163913577795,0.636201024055481,0.6831607222557068,0.6484314203262329,0.6794503331184387,44141.66666666666,34964.0,33826.87399424047,18868.0,131740.0,23867.0,36043.0,1037.888888888889,0.0,2935.593085806018,0.0,9341.0,0.0,0.0,9715.111111111111,9703.0,586.7557592283644,8762.0,10481.0,9214.0,10288.0,108.0
38.41902,-73.61087,2025/03/25 10:18:32,2025-03-25,Fin whale,Balaenoptera physalus,1,29.21564483642578,29.23087882995605,0.8951987624168396,27.81220817565918,30.32918930053711,28.792356491088867,30.15518569946289,0.4832781553268432,0.4891345202922821,0.0169099140912294,0.4491517543792724,0.5049705505371094,0.4780235290527344,0.4935258328914642,44141.66666666666,34964.0,33826.87399424047,18868.0,131740.0,23867.0,36043.0,1037.888888888889,0.0,2935.593085806018,0.0,9341.0,0.0,0.0,9715.111111111111,9703.0,586.7557592283644,8762.0,10481.0,9214.0,10288.0,108.0
